page_number,response_content
1100,"```json
{
  ""Page Number"": 290,
  ""Content"": ""All top pair combos have at least 70% equity and are strong enough to stack off at this SPR. Q♥ 3♥'s BDFD provides very little additional equity."",
  ""Graph Explanation"": {
    ""graph1"": ""This graph depicts BB equity versus c-bet. The matrix outlines various hand combinations and their corresponding equity percentages. The highlighted section in light green indicates hands with higher equity rates, specifically top pair combinations achieving at least 70% equity, suggesting they are viable for stacking off at this SPR (stack-to-pot ratio). The graph provides a visual interpretation of equity distribution across different hands in response to a c-bet scenario. Notable hand combinations like K♠ Q♠, J♣ T♣ are represented with specific equity percentages that inform decision-making processes in play.""
  }
}
```"
1101,"```json
{
  ""Page Number"": 290,
  ""Content"": ""SPINS FAST-PLAYING TOP PAIR AT LOW SPRS The BDFD increases the equity realization and decreases the vulnerability of Q♥3♥. Q♥3♥ prefers to smooth-call and retain their implied odds rather than fast-playing."",
  ""Graph Explanation"": ""The graph illustrates BB equity realization with Q3 suited. It displays three scenarios with different equity percentages: - Q♠3♣ (black): no data shown, indicating 0% or not applicable. - Q♥3♥5 (small hearts and 5): 143.7% equity realization. - Q♣3♠5 (small clubs and spades, and 5): 135.5% equity realization. - Q♣3♣5 (small clubs and 5): 135.5% equity realization.""
}
```"
1102,"```json
{
  ""Page Number"": 291,
  ""Content"": ""[Spin & Go, 15bb] BTN vs BB single-raised pot. BB check-calls 50% flop and turn c-bets and faces a river shove. What is BB's river calling range mainly comprised of?\n\nA: 35% two pair, 45% third pair\nB: 25% two pair, 45% second pair\nC: 40% second pair, 40% third pair\nD: 40% top pair, 40% second pair"",
  ""Questions"": ""What is BB's river calling range mainly comprised of?"",
  ""Graph Explanation"": {
    ""graph1"": ""Flop shows cards Jack of hearts, 7 of diamonds, 5 of hearts. Player actions depicted: BTN with actions 'CHECK', 'BET 1.5', 'ALLIN 13'; BB with actions 'CHECK', 'BET 1.5', 'BET 2.25', 'ALLIN 13'. Turn displays card 9 of clubs, River displays 2 of spades. Turn action: BTN 'CHECK', 'BET 1.8', 'ALLIN 10.75'; BB 'CHECK', 'BET 1.8', 'ALLIN 10.75'. River action: BTN 'CHECK', 'BET 2', 'ALLIN 6.25'; BB 'FOLD', 'CALL'.""
  }
}
```"
1103,"```json
{
    ""Page Number"": 291,
    ""Content"": ""Spins DEFENDING VS SHORT STACK TRIPLE BARRELS"",
    ""Questions"": ""A: 35% two pair, 45% third pair"",
    ""Graph Explanation"": {
        ""Hands Distribution"": {
            ""Straight"": ""3.2%"",
            ""Two pair"": ""36.3%"",
            ""Top pair"": ""3%"",
            ""Second pair"": ""1.4%"",
            ""Third pair"": ""45%"",
            ""Low pair"": ""10.9%"",
            ""King high"": ""0.2%""
        },
        ""Description"": ""BB river calling range""
    }
}
```"
1104,"```json
{
  ""page_number"": 291,
  ""content"": ""DEFENDING VS SHORT STACK TRIPLE BARRELS\n\nBB slowplays many of their two pair hands at the low SPR.\nTheir Jx (second pair) all fast-play flop or turn and their Ax (top pair) folds flop or shoves turn."",
  ""graph_explanation"": ""The graph represents the BB river strategy in defending against short stack triple barrels. Each square indicates a specific poker hand combination. The color coding reflects different actions or strategies based on hand types. For example, hands like KQs and KJs are represented in the chart, showing varied strategies such as checking, betting, or folding. The graph is arranged to show all possible starting hands with columns for each paired combination (e.g., AA, AK, etc.).""
}
```"
1105,"```json
{
  ""Page Number"": 291,
  ""Content"": ""This allows BU to shove very thin for value: good 7x and stronger."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph is a BTN river strategy chart. It shows the frequency of actions in a grid format with hands ranging from AA to 22 and AK to A5 off-suit and suited combinations. The red areas likely indicate folds, the green areas indicate aggressive actions like shoving or raising, and percentages show the frequency of these actions. Specific hands like K7o, K6s have low percentages, suggesting mixed strategies. The chart is targeting 'defending vs short stack triple barrels,' suggesting that the actions are calibrated to handle aggressive plays from short stacks.""
  }
}
```"
1106,"```json
{
  ""Page Number"": 292,
  ""Content"": ""[Spin & Go, 10bb] BTN vs BB single-raised pot. BB check-raises 25% vs a min c-bet and BTN calls on T♠ 5♥ 4♠ 2♠. What should the BB do on the turn with T♦ 7♦?\n\nA: Check\nB: Bet 20%\nC: Shove 56%"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Pre-flop"": [
        ""BTN - Fold, Raise 2, All-in 10"",
        ""SB - Fold, Call, All-in 10"",
        ""BB - Fold, Call, All-in 10""
      ],
      ""Flop"": ""T♠ 5♥ 4♠"",
      ""Turn"": ""2♠"",
      ""BB Actions"": [
        ""Check"",
        ""Bet 1.5 (33%)"",
        ""All-in 8 (178%)""
      ],
      ""BTN Responses"": [
        ""Check"",
        ""Bet 1 (22%)"",
        ""Bet 1.5 (33%)"",
        ""Bet 2.25 (50%)"",
        ""Bet 3.4 (76%)"",
        ""All-in 8 (178%)""
      ],
      ""BB Check-raise"": ""Raise 2.6 (25%), Raise 4.25 (50%), All-in 8 (108%)"",
      ""On Turn"": [
        ""Check"",
        ""Bet 1.95 (20%)"",
        ""All-in 5.4 (56%)""
      ]
    }
  },
  ""Questions"": ""What should the BB do on the turn with T♦ 7♦?""
}
```"
1107,"```json
{
  ""Page Number"": 292,
  ""Content"": ""SHORT STACK TURN BARRELING AFTER XR"",
  ""Questions"": ""Correct answer: C: Shove 56%"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Hand"": ""T♣7♣"",
      ""Strategy"": ""96.3%"",
      ""Range"": ""3.19"",
      ""EV"": ""45.5%"",
      ""Equity"": ""72.3%"",
      ""Blocker"": ""2""
    },
    ""graph2"": {
      ""Hand"": ""T♦7♦"",
      ""Strategy"": ""96.3%"",
      ""Range"": ""3.19"",
      ""EV"": ""45.5%"",
      ""Equity"": ""72.3%"",
      ""Blocker"": ""2""
    },
    ""graph3"": {
      ""Hand"": ""T♥7♥"",
      ""Strategy"": ""0.6%"",
      ""Range"": ""2.91"",
      ""EV"": ""43.8%"",
      ""Equity"": ""68.6%"",
      ""Blocker"": ""2""
    },
    ""Description"": ""BB turn strategy with T7s""
  }
}
```"
1108,"```json
{
  ""Page Number"": 292,
  ""Content"": ""This is the highest EV line for the BB even though the BTN calls better hands 80% of the time."",
  ""Graph Explanation"": {
    ""Graph1"": {
      ""Description"": ""BTN calling range vs shove"",
      ""Hands"": {
        ""Flush"": ""11.1%"",
        ""Set"": ""10.7%"",
        ""Overpair"": ""56.6%"",
        ""Top pair"": ""5.9%"",
        ""Underpair"": ""2.5%"",
        ""Second pair"": ""2.4%"",
        ""Low pair"": ""1.9%"",
        ""King high"": ""8.9%""
      }
    }
  }
}
```"
1109,"```json
{
  ""Page Number"": 293,
  ""Content"": ""[Spin & Go, 15bb] BTN vs BB single-raised pot. On which flop(s) does BB donk?\nA: 4 of hearts 3 of diamonds 3 of clubs\nB: K of hearts 4 of diamonds 4 of diamonds\nC: A of hearts 3 of hearts 2 of hearts\nD: A of hearts Q of hearts T of hearts"",
  ""Questions"": ""On which flop(s) does BB donk?"",
  ""Graph Explanation"": {
    ""graph1"": ""BTN actions: FOLD, RAISE 2, ALLIN 15. SB actions: FOLD, CALL, RAISE 4, ALLIN 15. BB actions: FOLD, CALL, RAISE 4, ALLIN 15. Flop pot size: 4.5. BB options post-flop: CHECK, BET 1.5 (33%), ALLIN 13 (289%).""
  }
}
```"
1110,"```json
{
  ""page_number"": 293,
  ""content"": ""DONKING OUT OF THE BB WITH SHORT STACKS"",
  ""questions"": ""Correct answer B: K♥ 4♥ 4♦"",
  ""graph_explanation"": {
    ""graph1"": {
      ""title"": ""BB donk frequency by board"",
      ""columns"": [""Flops"", ""Strategy"", ""Check"", ""Bet 1.5 (33%)"", ""Allin 13 (289%)""],
      ""data"": [
        {
          ""flop"": ""4♥ 3♠ 3♣"",
          ""strategy"": ""Check"",
          ""check"": ""99.9"",
          ""bet"": ""0.1"",
          ""allin"": ""0""
        },
        {
          ""flop"": ""K♥ 4♥ 4♦"",
          ""strategy"": ""Check"",
          ""check"": ""86"",
          ""bet"": ""14"",
          ""allin"": ""0""
        },
        {
          ""flop"": ""A♥ 3♦ 2♥"",
          ""strategy"": ""Check"",
          ""check"": ""100"",
          ""bet"": ""0"",
          ""allin"": ""0""
        },
        {
          ""flop"": ""A♥ Q♥ T♥"",
          ""strategy"": ""Check"",
          ""check"": ""100"",
          ""bet"": ""0"",
          ""allin"": ""0""
        }
      ]
    }
  }
}
```"
1111,"```json
{
  ""Page Number"": 293,
  ""Content"": ""The above chart shows BTN's strategy if we instead check.\n\nBTN range bets 4♥ 3♦ 3♣, A♥ 3♦ 2♥ and A♥ Q♥ T♥. BB's nutted hands therefore make more money by check-raising than by donking. On K♥ 4♦ 4♠ BTN only c-bets half the time.\n\nBB donks their strong hands to deny them the option of checking back."",
  ""Graph Explanation"": ""The chart displays BTN's c-bet frequency by board. It shows different flop scenarios and the corresponding strategies of checking or betting various amounts (Bet 1, Bet 1.5, Bet 2.25, Bet 3.4, Bet 4.5) as percentages. For example:\n\n- On a flop of 4♦ 3♦ 3♣, BTN chooses to check 6.5% of the time, bet 1 (22%) 29.9%, bet 1.5 (33%) 43.8%, bet 2.25 (50%) 18.4%, bet 3.4 (76%) 1.3%, and never bets 4.5 (100%).\n\n- On a flop of K♥ 4♦ 4♠, BTN checks 50.7%, and takes actions of bet 1 and bet 1.5 at 48.1% and 1% respectively.\n\n- On a flop of A♥ 3♦ 2♥, BTN checks 29%, and primarily uses bet 1.5.\n\n- On a flop of A♥ Q♥ T♥, BTN's check frequency is 6.1% with varying frequencies for other bets.""
}
```"
1112,"```json
{
  ""Page Number"": 294,
  ""Content"": ""[HU SnG, 7bb] SB (IP) plays a mixed strategy of open limping and shoving."",
  ""Questions"": ""How does SB construct their limping range?"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Description"": ""SB actions with 7bb stack in a Heads-Up Sit and Go game: Possible strategies are Fold, Call, Raise 2, and All-in 7.""
    }
  }
}
```"
1113,"```json
{
  ""page_number"": 294,
  ""content"": ""Spins | Limping with Short Stacks\nCorrect answer\nD: Polarized"",
  ""graph_explanation"": {
    ""graph1"": ""The graph represents a strategy matrix for SB (Small Blind) actions. It categorizes different poker hands into various actions, likely related to whether to fold, call, or raise in short stack situations. The matrix includes combinations of cards, such as AKo, QJs, 76s, and 22, organized by rank and suit into color-coded sections. The colors likely indicate different strategic decisions. AKs to A2s and KK to 22 are included in the matrix, with variations of suited (s) and offsuit (o) hands.""
  }
}
```"
1114,"```json
{
  ""pageNumber"": 294,
  ""content"": ""SB shoves their medium hands with poor equity realization. They limp both their strongest and weakest hands. BB must attack the limp to deny equity to the weak holdings which increases the EV of the traps. BB is unable to attack the limp too aggressively however due to the presence of the traps. This allows the SB to profitably limp hands as weak as J4o."",
  ""graphExplanation"": ""The graph depicts a table with the hero at the Small Blind (SB) position, displaying limping strategy from short stacks. It shows SB's range, indicating some hands as weights represented by 'W'. These weights imply the strategy for limping both strong and weak hands. The graph suggests aggressive action by the Big Blind (BB) in response to the limps without overly risking confrontation due to potential traps, which are symbolized by these weighted hands.""
}
```"
1115,"```json
{
  ""Page Number"": 294,
  ""Content"": ""The SB can exploit a passive ISO strategy by limping more weak hands and shifting some of their strong hands into other lines."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph titled 'BB strategy vs limp' represents the strategy of the Big Blind against a limp. It uses a color-coded matrix with hands such as AKo, KQs, and 99. The green areas indicate the hands the BB should play more aggressively, such as raising or making an ISO raise. Red areas signify the hands where the BB might fold or play more passively. The chart encompasses a wide range of starting hands, with varying percentages for different actions, emphasizing an optimized strategy against a limping opponent.""
  }
}
```"
1116,"```json
{
  ""Page Number"": 295,
  ""Content"": ""Defending the BB in ICM scenarios\n\nGraph:\nHJ\n- Fold\n- Raise 2\n- Raise 40\n\nCO\n- Fold\n- Raise 5\n- Raise 10\n- All-in 20\n\nBTN\n- Fold\n- Call\n- Raise 6\n- All-in 40\n\nSB\n- Fold\n- Raise 6\n- All-in 25\n\nBB\n- Fold\n- Call\n- Raise 10\n- All-in 35\n\n[5-Handed MTT, ICM] HJ min raises and it folds to BB. In which stack distribution does BB defend widest (stacks ordered from HJ to BB)?"",
  ""Questions"": ""[5-Handed MTT, ICM] HJ min raises and it folds to BB. In which stack distribution does BB defend widest (stacks ordered from HJ to BB)?"",
  ""Graph Explanation"": ""The graph shows actions for 5-handed play involving positions HJ, CO, BTN, SB, and BB:\n- HJ options: Fold, Raise 2, Raise 40\n- CO options: Fold, Raise 5, Raise 10, All-in 20\n- BTN options: Fold, Call, Raise 6, All-in 40\n- SB options: Fold, Raise 6, All-in 25\n- BB options: Fold, Call, Raise 10, All-in 35\n\nThese actions depict possible moves based on each position's scenarios, typically involving pre-flop play decisions and stack sizes.""
}
```"
1117,"```json
{
  ""page_number"": 295,
  ""content"": ""DEFENDING THE BB IN ICM SCENARIOS"",
  ""questions"": ""B: 35-25-10-20-60"",
  ""graph_explanation"": {
    ""graph1"": {
      ""situation"": ""HJ vs BB"",
      ""stacks"": {
        ""HJ"": ""58"",
        ""CO"": ""20"",
        ""BTN"": ""40"",
        ""SB"": ""24.5"",
        ""BB"": ""34""
      },
      ""big_blinds"": {
        ""HJ"": ""4.1 BB"",
        ""BB"": ""2.1 BB""
      },
      ""actions"": {
        ""BB"": ""35 Call"",
        ""10% raise"",
        ""call by 45%"",
        ""fold by 52%""
      }
    },
    ""graph2"": {
      ""situation"": ""HJ vs BB"",
      ""stacks"": {
        ""HJ"": ""33"",
        ""CO"": ""25"",
        ""BTN"": ""10"",
        ""SB"": ""19.5"",
        ""BB"": ""59""
      },
      ""big_blinds"": {
        ""HJ"": ""4.1 BB"",
        ""BB"": ""2.1 BB""
      },
      ""actions"": {
        ""BB"": ""35 Call"",
        ""8% raise"",
        ""call by 72%"",
        ""fold by 18%""
      }
    }
  }
}
```"
1118,"```json
{
  ""Page Number"": 295,
  ""Content"": ""Mid-stacks must be wary of going broke before short-stacks.\nThe BB gets to call wider as the chip leader as they pay a lower risk premium."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph shows the 35-25-10-20-60 BB strategy and EV. It is a grid with color-coded cells: red, green, and blue. Each cell seems to represent different hand ranges and actions. Numeric values in each cell might indicate expected value (EV) or probability percentages for various hands. The color red likely signifies folding, green might signify a standard call, and blue represents specific strategic actions like raising or all-in.""
  }
}
```"
1119,"```json
{
  ""Page Number"": 295,
  ""Content"": ""BB must defend tighter when HJ has them covered as the value of survival increases."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""60-20-40-25-35 BB strategy and EV"",
      ""Description"": ""The graph displays a grid of poker hands with color coding to indicate BB strategy and expected value (EV) against HJ. Green cells typically represent favorable actions such as 'call' or 'raise', blue cells might indicate 'fold', and red cells suggest less favorable scenarios. The hand combinations range from AA down to 72o, showing varied strategies based on position and stack depth.""
    }
  }
}
```"
1120,"```json
{
  ""page_number"": 296,
  ""content"": ""[8-Max MTT, 40bb] BTN vs CO 3-bet pot. On which flop(s) does BTN c-bet 100% of their range?\n\nA: A♥ K♥ K♦\nB: A♥ 7♦ 3♥\nC: K♥ J♠ 6♥\nD: 8♠ 7♥ 3♥"",
  ""questions"": ""On which flop(s) does BTN c-bet 100% of their range?"",
  ""graph_explanation"": {
    ""graph1"": ""The graph shows decision matrix for a 3-bet pot between BTN and CO. It includes various pre-flop and post-flop actions:\n- Positions: CO, BTN, SB, BB.\n- Pre-flop actions: CO raises to 2.3, BTN raises to 6.9, CO and BTN go all-in at 40.\n- Flop pot size: 16.3.\n- Post-flop actions:\n  - CO: Check\n  - BTN: Betting options with percentages - BET 1.65 (10%), BET 4.1 (25%), BET 8.15 (50%), BET 12.2 (75%), BET 16.3 (100%).\n  - Post-flop, CO attempts check, followed by specific bet sizes from BTN with their corresponding usage percentages.""
  }
}
```"
1121,"```json
{
  ""Page Number"": 296,
  ""Content"": ""MTT CONSTRUCTING MTT C-BET STRATEGIES\n\nBTN c-bet strategies"",
  ""Graph Explanation"": {
    ""Graph1"": {
      ""Title"": ""BTN c-bet strategies"",
      ""Flops"": [
        ""A♠ K♠ K♦"",
        ""A♥ 7♠ 3♦"",
        ""K♥ J♥ 6♦"",
        ""8♦ 7♥ 3♥""
      ],
      ""Strategy"": {
        ""Columns"": [
          ""Check"",
          ""Bet 1.65"",
          ""Bet 4.1"",
          ""Bet 8.15"",
          ""Bet 12.2"",
          ""Bet 16.3"",
          ""All-in 33.1""
        ],
        ""Data"": [
          {""Check"": 48, ""Bet 1.65"": 32.9, ""Bet 4.1"": 17.7, ""Bet 8.15"": 1.4, ""Bet 12.2"": 0.1, ""Bet 16.3"": 0, ""All-in 33.1"": 0},
          {""Check"": 31.4, ""Bet 1.65"": 51.8, ""Bet 4.1"": 16.8, ""Bet 8.15"": 0, ""Bet 12.2"": 0, ""Bet 16.3"": 0, ""All-in 33.1"": 0},
          {""Check"": 59.1, ""Bet 1.65"": 1.9, ""Bet 4.1"": 10.6, ""Bet 8.15"": 20.7, ""Bet 12.2"": 7.7, ""Bet 16.3"": 0, ""All-in 33.1"": 0},
          {""Check"": 1, ""Bet 1.65"": 3.5, ""Bet 4.1"": 93, ""Bet 8.15"": 2.4, ""Bet 12.2"": 0, ""Bet 16.3"": 0, ""All-in 33.1"": 0}
        ]
      }
    }
  },
  ""Questions"": ""Correct answer\nD: 8♦7♥3♥""
}
```"
1122,"```json
{
  ""pageNumber"": 296,
  ""content"": ""CO doesn't have overpairs or sets on 8♦ 7♥ 3♥ because they 4-bet shove most of their pocket pairs preflop 40bb deep.\n\nBTN c-bets most frequently on boards where CO's high cards miss. 73% of CO's range is just overcard air on 8♦ 7♥ 3♥."",
  ""graphExplanation"": ""The graph illustrates preflop hand ranges and actions at 40bb deep. The matrix identifies specific hand combinations and their likelihood of being in the player's range. Key color codings indicate actions such as 4-bet shoves (marked in red), calls (marked in green), and folds (marked in light blue). The absence of overpairs or sets is visually indicated by the lack of combinations like AA, KK, QQ in the reachable range on 8♦ 7♥ 3♥ board.""
}
```"
1123,"```json
{
  ""page_number"": 296,
  ""content"": ""BTN's c-bet frequency increases as the rank of the board decreases."",
  ""graph_explanation"": {
    ""graph1"": ""The graph shows BTN (Button) c-bet frequency by board rank. The x-axis represents card ranks from 2 to Ace (A). The y-axis displays the frequency of c-betting. The red sections indicate lower c-bet frequencies, while the green sections denote higher c-bet frequencies. The graph illustrates that as the rank of the board decreases, the c-bet frequency tends to increase.""
  }
}
```"
1124,"```json
{
  ""Page Number"": 297,
  ""Content"": ""[MTT] C-BETTING VS AN IP COLD CALLER IN MTTS\n\n[8-Max MTT] UTG vs BTN single-raised pot. At which stack depth(s) does UTG check most on 7♥6♦5♣?\n\nA: 100bb\nB: 80bb\nC: 50bb\nD: 25bb"",
  ""Questions"": ""[8-Max MTT] UTG vs BTN single-raised pot. At which stack depth(s) does UTG check most on 7♥6♦5♣?"",
  ""Graph Explanation"": {
    ""graph1"": ""A table showing the actions for different positions: UTG FOLD, RAISE 2.3, ALLIN 100; UTG1 FOLD, CALL, RAISE 8, ALLIN 100; LJ FOLD, CALL, RAISE 8, ALLIN 100; HJ FOLD, CALL, RAISE 8, ALLIN 100; CO FOLD, CALL, RAISE 8, ALLIN 100; BTN FOLD, CALL, RAISE 8, ALLIN 100; SB FOLD, CALL, RAISE 11.5, ALLIN 100; BB FOLD, CALL, RAISE 11.9, ALLIN 100.\n\nA box is highlighted around the flop 7♥6♦5♣ with UTG's potential actions: CHECK (33%), BET 2.35 (66%), BET 4.7 (100%), BET 7.1 (150%), BET 10.65 (150%), ALLIN 97.7 (1376%).""
  }
}
```"
1125,"```json
{
  ""Page Number"": 297,
  ""Content"": ""C-BETTING VS AN IP COLD CALLER IN MTTs\nCorrect answer\nA: 100bb"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""UTG strategy at 100bb"",
      ""Explanation"": ""This graph represents a pre-flop strategy matrix at 100 big blinds (bb) for Under the Gun (UTG) position during Multi-Table Tournaments (MTTs). The matrix includes recommended actions for each two-card combination. The color coding indicates certain actions for specific card hands, but without further explanation within the image, each combination like 'AKs', 'KQs', 'QJs', etc. is highlighted. Observations can include hands such as 'A9s', 'KTs', 'QJs', 'JJ', which are part of the suggested action range. Suited cards are denoted by an 's' and offsuit by an 'o' (e.g., 'AKs' denotes Ace-King suited).""
    }
  }
}
```"
1126,"```json
{
  ""page_number"": 297,
  ""content"": ""OOP usually checks very frequently when HU vs an IP cold caller.\n\nIP players cannot cold call wide given the risk of being squeezed by the blinds.\n\nIP cold calls a strong, condensed range compared to the initial raiser resulting in frequent checks by OOP."",
  ""graph_explanation"": {
    ""graph1"": ""The graph shows a poker table setup with positions marked as HJ, CO, BTN (marked GTO), SB, BB, UTG, and UTG1. The board displays 7 of hearts, 6 of spades, and 5 of clubs with two unspecified suits marked as 'W'. The Hero is positioned at UTG, and the dealer button (D) is assigned to the BTN. The graph illustrates a scenario focusing on c-betting dynamics between head-up (HU) and in-position (IP) cold callers in multi-table tournaments (MTTs).""
  }
}
```"
1127,"```json
{
  ""page_number"": 297,
  ""content"": ""MTT: C-Betting vs an IP Cold Caller in MTTs"",
  ""graph_explanation"": {
    ""title"": ""BTN cold-call range"",
    ""graph_details"": [
      {""hand"": ""AA"", ""action"": ""cold-call""},
      {""hand"": ""AKs"", ""action"": ""cold-call""},
      {""hand"": ""AQs"", ""action"": ""cold-call""},
      {""hand"": ""AJs"", ""action"": ""cold-call""},
      {""hand"": ""ATs"", ""action"": ""cold-call""},
      {""hand"": ""A9s"", ""action"": ""cold-call""},
      {""hand"": ""A8s"", ""action"": ""cold-call""},
      {""hand"": ""A7s"", ""action"": ""cold-call""},
      {""hand"": ""A6s"", ""action"": ""cold-call""},
      {""hand"": ""A5s"", ""action"": ""cold-call""},
      {""hand"": ""A4s"", ""action"": ""cold-call""},
      {""hand"": ""A3s"", ""action"": ""cold-call""},
      {""hand"": ""AKo"", ""action"": ""cold-call""},
      {""hand"": ""KK"", ""action"": ""cold-call""},
      {""hand"": ""KQs"", ""action"": ""cold-call""},
      {""hand"": ""KJs"", ""action"": ""cold-call""},
      {""hand"": ""KTs"", ""action"": ""cold-call""},
      {""hand"": ""K9s"", ""action"": ""cold-call""},
      {""hand"": ""K8s"", ""action"": ""cold-call""},
      {""hand"": ""AQo"", ""action"": ""cold-call""},
      {""hand"": ""KQo"", ""action"": ""cold-call""},
      {""hand"": ""QQ"", ""action"": ""cold-call""},
      {""hand"": ""QJs"", ""action"": ""cold-call""},
      {""hand"": ""QTs"", ""action"": ""cold-call""},
      {""hand"": ""Q9s"", ""action"": ""cold-call""},
      {""hand"": ""AJo"", ""action"": ""cold-call""},
      {""hand"": ""KJo"", ""action"": ""cold-call""},
      {""hand"": ""QJo"", ""action"": ""cold-call""},
      {""hand"": ""JJ"", ""action"": ""cold-call""},
      {""hand"": ""JTs"", ""action"": ""cold-call""},
      {""hand"": ""J9s"", ""action"": ""cold-call""},
      {""hand"": ""ATo"", ""action"": ""cold-call""},
      {""hand"": ""KTo"", ""action"": ""cold-call""},
      {""hand"": ""QTo"", ""action"": ""cold-call""},
      {""hand"": ""JTo"", ""action"": ""cold-call""},
      {""hand"": ""TT"", ""action"": ""cold-call""},
      {""hand"": ""T9s"", ""action"": ""cold-call""},
      {""hand"": ""T8s"", ""action"": ""cold-call""},
      {""hand"": ""99"", ""action"": ""cold-call""},
      {""hand"": ""98s"", ""action"": ""cold-call""},
      {""hand"": ""88"", ""action"": ""cold-call""},
      {""hand"": ""87s"", ""action"": ""cold-call""},
      {""hand"": ""77"", ""action"": ""cold-call""},
      {""hand"": ""76s"", ""action"": ""cold-call""},
      {""hand"": ""66"", ""action"": ""cold-call""},
      {""hand"": ""55"", ""action"": ""cold-call""},
      {""hand"": ""44"", ""action"": ""cold-call""},
      {""hand"": ""33"", ""action"": ""cold-call""},
      {""hand"": ""22"", ""action"": ""cold-call""}
    ]
  }
}
```"
1128,"```json
{
  ""Page Number"": 297,
  ""Content"": ""BTN flats many mid and low pocket pairs and has a nut advantage on low flops like 7♥ 6♦ 5♣. UTG can comfortably stack off their overpairs at a low SPR and c-bets more often. At deeper stack depths, BTN's set advantage becomes problematic, so UTG range-checks instead.""
}
```"
1129,"```json
{
  ""page_number"": 298,
  ""content"": ""[8-Max MTT, 10bb] SB vs BB limped pot. SB c-bets min and BB raises 33% on A♠ A♥ 2♠. Which hand class does SB 3-bet most aggressively vs the raise?\nA: Trips\nB: Underpairs\nC: Second pair\nD: King high"",
  ""graph_explanation"": {
    ""graph1"": ""The graph shows actions postflop on a board of A♠ A♥ 2♠. In the first column, SB's actions involve FOLD, CALL, RAISE 2, ALLIN 10. The second column shows BB checking, raising 2.5, raising 4, all-in 10. In the flop column, the cards are A♠ A♥ 2♠. In the third column for SB, actions include CHECK, BET 1 (33%), and ALLIN 9 (300%). The BB's actions in the next column are FOLD, CALL, RAISE 2.65 (33%), RAISE 3.75 (55%), and ALLIN 9 (160%). The final column for SB includes FOLD, CALL, RAISE 5.4 (33%), and ALLIN 9 (77%).""
  },
  ""questions"": ""Which hand class does SB 3-bet most aggressively vs the raise?""
}
```"
1130,"```json
{
  ""page_number"": 298,
  ""content"": ""AGGRESSIVE POSTFLOP PLAY WITH SHORT STACKS\nCorrect answer\nC: Second pair"",
  ""graph_explanation"": {
    ""graph1"": {
      ""title"": ""SB response vs check-raise"",
      ""hands"": {
        ""Quads"": ""0.3%"",
        ""Trips"": ""2.5%"",
        ""Underpair"": ""14.4%"",
        ""Second pair"": ""3.8%"",
        ""King high"": ""4.3%"",
        ""No made hand"": ""74.8%""
      },
      ""colors"": {
        ""green"": ""Indicates strong response or action"",
        ""red"": ""Indicates weak response or fold"",
        ""blue"": ""Indicates uncertain or mixed response""
      }
    }
  }
}
```"
1131,"```json
{
  ""Page Number"": 298,
  ""Content"": ""SB's vulnerable-strong hands 3-bet to better realize their equity. Hands as weak as King of diamonds Ten of diamonds 3-bet and stack off with 40% equity when called. Ranges are very wide and BB must stack off with hands as weak as Queen of spades Five of spades or King of diamonds Four of diamonds."",
  ""Graph Explanation"": {
    ""Title"": ""Equity of SB's 3-bet shoving range when called"",
    ""Description"": ""The graph illustrates the equity of various hands in the small blind's (SB) 3-bet shoving range when called. It includes a detailed matrix with hand combinations displayed in color-coded boxes, each showing specific equity percentages. The graph indicates a wide range of hands involved in 3-bet shoving from SB, including very strong hands like Aces suited (e.g., Ace of hearts Ace of diamonds) with high equity, down to weaker hands with lower equity such as Queen of clubs Two of clubs.""
  }
}
```"
1132,"```json
{
  ""Page Number"": 298,
  ""Content"": ""SB's invulnerable hands like trips and strong underpairs make more money as calls. They can easily get the money in later at this SPR, even on 3-flush runouts."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph shows three playing cards: Ace of spades, Ace of hearts, and 2 of spades. The focus is likely on the potential hand strength and board dynamics these cards represent, particularly in postflop play with short stacks.""
  }
}
```"
